S.NO,Name,Nationality,Current Rank,,Sport,Year,earnings ($ million)
53,Deion Sanders,USA,3,,American Football,1995,22.5
134,Peyton Manning,USA,3,,American Football,2004,42
145,Michael Vick,USA,4,,American Football,2005,37.5
161,Tom Brady,USA,10,,American Football,2006,29
200,Eli Manning,USA,9,,American Football,2010,39.9
201,Terrell Suggs,USA,10,,American Football,2010,38.3
221,Peyton Manning,USA,10,,American Football,2012,42.4
226,Drew Brees,USA,5,,American Football,2013,51
227,Aaron Rodgers,USA,6,,American Football,2013,49
241,Matt Ryan,USA,10,,American Football,2014,43.8
258,Cam Newton,USA,7,,American Football,2016,53.1
267,Andrew Luck,USA,6,,American Football,2017,51
280,Matt Ryan,USA,9,,American Football,2018,67.3
281,Matthew Stafford,USA,10,,American Football,2018,59.5
287,Russell Wilson,USA,6,,American Football,2019,89.5
288,Aaron Rogers,USA,7,,American Football,2019,89.3
300,Kirk Cousins,USA,9,,American Football,2020,60.5
301,Carson Wentz,USA,10,,American Football,2020,59.1
38,Cecil Fielder,USA,8,,Baseball,1993,12.7
90,Gary Sheffield,USA,10,,Baseball,1998,17.2
128,Alex Rodriguez,USA,7,,Baseball,2003,26
140,Alex Rodriguez,USA,9,,Baseball,2004,26.2
160,Alex Rodriguez,USA,9,,Baseball,2006,29.1
209,Alex Rodriguez,Dominican,8,,Baseball,2011,35
8,Michael Jordan,USA,8,,Basketball,1990,8.2
13,Michael Jordan,USA,3,,Basketball,1991,16
21,Michael Jordan,USA,1,,Basketball,1992,35.9
31,Michael Jordan,USA,1,,Basketball,1993,36
41,Michael Jordan,USA,1,,Basketball,1994,30
42,Shaq O'Neal,USA,2,,Basketball,1994,16.7
51,Michael Jordan,USA,1,,Basketball,1995,43.9
55,Shaquille O'Neal,USA,5,,Basketball,1995,21.9
62,Michael Jordan,USA,2,,Basketball,1996,52.6
64,Shaquille O'Neal,USA,4,,Basketball,1996,24.4
69,Dennis Rodman,USA,9,,Basketball,1996,12.9
70,Patrick Ewing,USA,10,,Basketball,1996,12.8
71,Michael Jordan,USA,1,,Basketball,1997,78.3
77,Shaquille O'Neal,USA,7,,Basketball,1997,25.4
80,Grant Hill,USA,10,,Basketball,1997,17
81,Michael Jordan,USA,1,,Basketball,1998,69
86,Grant Hill,USA,6,,Basketball,1998,21.6
88,Patrick Ewing,USA,8,,Basketball,1998,18.3
94,Michael Jordan,USA,4,,Basketball,1999,40
97,Shaq O'Neal,USA,7,,Basketball,1999,31
100,Grant Hill,USA,10,,Basketball,1999,23
104,Michael Jordan,USA,4,,Basketball,2000,37
105,Grant Hill,USA,5,,Basketball,2000,26
107,Shaq O'Neal,USA,7,,Basketball,2000,24
110,Kevin Garnett,USA,10,,Basketball,2000,21
113,Michael Jordan,USA,3,,Basketball,2002,36
115,Grant Hill,USA,5,,Basketball,2002,24
116,Shaquille O'Neal,USA,6,,Basketball,2002,23.5
118,Kevin Garnett,USA,8,,Basketball,2002,22.5
119,Kobe Bryant,USA,9,,Basketball,2002,22
124,Michael Jordan,USA,3,,Basketball,2003,35
125,Shaq O'Neal,USA,4,,Basketball,2003,30.5
127,Kevin Garnett,USA,6,,Basketball,2003,28
129,Grant Hill,USA,8,,Basketball,2003,25.5
135,Michael Jordan,USA,4,,Basketball,2004,35
136,Shaquille O'Neal,USA,5,,Basketball,2004,31.9
137,Kevin Garnett,USA,6,,Basketball,2004,29.7
141,Kobe Bryant,USA,10,,Basketball,2004,26.1
146,Shaquille O'Neal,USA,5,,Basketball,2005,33.4
147,Michael Jordan,USA,6,,Basketball,2005,33
149,Kobe Bryant,USA,8,,Basketball,2005,28.8
156,Michael Jordan,USA,5,,Basketball,2006,32
157,Kobe Bryant,USA,6,,Basketball,2006,31
158,Shaquille O'Neal,USA,7,,Basketball,2006,30
168,Kobe Bryant,USA,7,,Basketball,2007,33
169,Shaquille O'Neal,USA,8,,Basketball,2007,32
